"id","created_at","name","has_test","alternate_url"
"129194965","2026-01-05T12:59:04+0300","Junior/Middle ML Engineer",false,"https://hh.ru/vacancy/129194965"
"128311915","2026-01-05T09:29:54+0300","Аналитик данных / Data Analyst",false,"https://hh.ru/vacancy/128311915"
"128429348","2025-12-04T13:02:52+0300","Начинающий специалист / Data Analyst / Data Scientist",true,"https://hh.ru/vacancy/128429348"
"128858730","2025-12-18T11:12:34+0300","Senior Data Scientist",false,"https://hh.ru/vacancy/128858730"
"129190405","2026-01-05T09:13:44+0300","Middle AI Developer / Разработчик ИИ",false,"https://hh.ru/vacancy/129190405"
"129208131","2026-01-06T15:56:54+0300","Machine Learning Engineer/ Data scientist",false,"https://hh.ru/vacancy/129208131"
"129192639","2026-01-05T10:57:03+0300","Middle Data Scientist",false,"https://hh.ru/vacancy/129192639"
"129033649","2025-12-25T12:14:25+0300","DevOps / Инженер по сборке, настройке и развертыванию ПО",false,"https://hh.ru/vacancy/129033649"
"128249330","2025-12-26T12:19:53+0300","ML-аналитик / Data Scientist",false,"https://hh.ru/vacancy/128249330"
"128832251","2025-12-17T15:21:42+0300","Data Scientist",true,"https://hh.ru/vacancy/128832251"
"121370571","2025-12-04T08:52:25+0300","Data Scientist / ML Engineer",false,"https://hh.ru/vacancy/121370571"
"129194656","2026-01-05T12:43:18+0300","Data Scientist",false,"https://hh.ru/vacancy/129194656"
"129038152","2025-12-25T14:28:00+0300","AI Lead / Head of AI Development (Platform AI)",false,"https://hh.ru/vacancy/129038152"
"128951283","2025-12-22T14:16:41+0300","Data Scientist в команду Пополнения",false,"https://hh.ru/vacancy/128951283"
"127819012","2025-12-15T11:57:54+0300","Junior Data Scientist (Стажер)",false,"https://hh.ru/vacancy/127819012"
"128760629","2025-12-15T17:11:05+0300","Стажер Data Scientist (Classic ML)",true,"https://hh.ru/vacancy/128760629"
"128308030","2025-12-02T11:09:55+0300","Data Scientist / ML-инженер",false,"https://hh.ru/vacancy/128308030"
"128759170","2025-12-15T16:39:33+0300","Стажер Data Scientist (NLP)",true,"https://hh.ru/vacancy/128759170"
"127934606","2026-01-06T14:08:04+0300","Аналитик данных (data analyst)",false,"https://hh.ru/vacancy/127934606"
"129226927","2026-01-08T17:13:36+0300","Data Scientist",false,"https://hh.ru/vacancy/129226927"
